Folded pygeostat_saved_data                    
           5
X                                       
Y                                       
Z                                       
Cu                                      
Fold (out of   5)
35513.500000 28138.000000 1065.412000 0.596730   1
35762.100000 28127.800000 697.900000 0.683600   1
35762.100000 28127.800000 707.900000 0.498230   3
35762.100000 28127.800000 717.900000 0.794520   4
35762.100000 28127.800000 727.900000 0.946000   5
35762.100000 28127.800000 747.900000 0.518440   4
35762.100000 28127.800000 757.900000 0.885670   3
35762.100000 28127.800000 777.900000 0.559950   1
35762.100000 28127.800000 787.900000 0.321730   5
35762.100000 28127.800000 797.900000 1.179130   4
35762.100000 28127.800000 807.900000 0.554420   1
35762.100000 28127.800000 817.900000 0.579520   3
35762.100000 28127.800000 827.900000 0.263900   5
35762.100000 28127.800000 847.900000 0.257080   4
35762.100000 28127.800000 857.900000 0.207550   5
35762.100000 28127.800000 867.900000 0.256750   1
35762.100000 28127.800000 887.900000 0.027700   3
35762.100000 28127.800000 897.900000 0.141950   4
35762.100000 28127.800000 907.900000 0.477050   3
35762.100000 28127.800000 917.900000 0.563800   5
35762.100000 28127.800000 927.900000 0.426720   1
35762.100000 28127.800000 937.900000 0.531070   4
35762.100000 28127.800000 947.900000 0.340650   5
35762.100000 28127.800000 977.900000 0.352150   1
35762.100000 28127.800000 987.900000 0.342200   5
35762.100000 28127.800000 997.900000 0.435970   3
35762.100000 28127.800000 1007.900000 0.343470   4
35762.100000 28127.800000 1017.900000 0.267050   1
35762.100000 28127.800000 1027.900000 0.284500   3
35762.100000 28127.800000 1037.900000 0.271100   5
35762.100000 28127.800000 1057.900000 0.349480   5
35762.100000 28127.800000 1077.900000 0.551470   1
35762.100000 28127.800000 1087.900000 0.706250   3
35762.100000 28127.800000 1097.900000 0.550700   4
37281.000000 27091.600000 820.200000 0.055560   1
37281.000000 27091.600000 840.200000 0.028970   4
37281.000000 27091.600000 850.200000 0.004050   3
37281.000000 27091.600000 860.200000 0.001000   5
37281.000000 27091.600000 870.200000 0.015250   4
37281.000000 27091.600000 880.200000 0.001000   5
37281.000000 27091.600000 890.200000 0.001000   3
37281.000000 27091.600000 910.200000 0.018480   1
33290.500000 28437.500000 795.787500 0.061970   3
33290.500000 28437.500000 815.787500 0.005780   1
33290.500000 28437.500000 825.787500 0.028120   4
33290.500000 28437.500000 835.787500 0.028290   5
33290.500000 28437.500000 845.787500 0.005380   4
